doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D0124-470050-005-05,1,01FA,21,8958,08-005-000,27,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000027,00B07A14F039C75120001D93,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,27,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000027,00B07A14F039C75120001D90,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,27,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000027,00B07A14F039C75120001D8C,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,27,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000027,00B07A14F039C75120001D85,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,27,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000027,00B07A14F039C75120001CC3,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,27,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000027,00B07A14F039C75120001B88,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,27,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000027,00B07A14F039C75120001A90,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,27,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000027,00B07A14F039C75120001848,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,37,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000037,00B07A14F039C75120001D46,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,37,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000037,00B07A14F039C75120001D00,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,37,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000037,00B07A14F039C75120001C9E,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,37,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000037,00B07A14F039C75120001C38,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,37,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000037,00B07A14F039C7512000196A,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,37,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000037,00B07A14F039C75120001919,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,37,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000037,00B07A14F039C75120001871,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,37,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000037,00B07A14F039C75120001863,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-004-000,17,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000017,00B07A14F039C71120001461,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,17,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000017,00B07A14F039C71120001453,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,17,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000017,00B07A14F039C7112000140A,s,s,s,2000188591640
