doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D4A44C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D2604C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D1544B,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D5844D,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D1884C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D5344C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2284B,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D3CC4C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D3404C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D4184C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D1404C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2B84B,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D18C4C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D0FC4C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D3884C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D1E44B,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D33C4C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D5844C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D2BC4B,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D45C4C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D5804C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D2F04C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D1E04B,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D1444C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D1D44C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D3044B,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D3844C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D1D04C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D4EC4C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2744B,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D4144C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D1984B,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D19C4B,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D4A84C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D2704B,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D21C4C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2A84C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2F44C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D3D04C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D22C4B,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2644C,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D0F84C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D1084B,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D5384C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D2184C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D4604C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D10C4B,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D1504B,s,s,s,1713408003205
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D4F04C,s,s,s,1713408002567
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D2AC4C,s,s,s,1713408002567
