doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD555,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD527,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD521,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD520,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD51F,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD51E,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD51B,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD518,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD516,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD515,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD511,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD510,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD507,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD504,s,s,s,2000187123149
